id,signature,year (map),order,library,category (desc),date (desc),location (desc),extract (desc),description,hsc,catalog,digital copy,additional info,origin,radius,long,lat
lt1,"Augsburg, Staats- und Stadtbibliothek, 8° Cod. 203",1510,Kartäuser,"Augsburg, Staats- und Stadtbibliothek",Gebetbuch,1. Viertel 16. Jh.,"Süddeutschland; Kartause 
Buxheim (Vorbesitzer)","57v-64r: III, 51, 47; IV, 6, 7, 15, 25; I, 19
64v-66r: V, 18 (?) (laut Katalog abweichende Fassung)",,–,"Trede, Juliane/Gehrt, Wolf: Die Handschriften der Staats- und Stadtbibliothek Augsburg. 
8° Cod. 1-232 (Handschriftenkataloge der Staats- und Stadtbibliothek Augsburg VIII), 
Wiesbaden 2011, S. 359-361.",–,–,,,10.13400,48.00000
lt2,"Avignon, Bibliothèque Municipale, Cod. 355",1512,Unbekannt,"Avignon, Bibliothèque Municipale",MH als Haupttext,16. Jh.,–,größerer Bestand (f. 1r-101v),,–,"Catalogue général des manuscrits des bibliothèques, Tom. XXVII, 
S. 273.",–,–,,200.00,4.03320,44.51940
lt3,"Basel, Universitätsbibliothek, Cod. A V 54e",1415,Unbekannt,"Basel, Universitätsbibliothek",Einzelne Lage,1. Hälfte 15. Jh. ,–,"3r: I, 47",,–,https://www.e-codices.unifr.ch/en/description/ubb/A-V-0054e/HAN,https://www.e-codices.unifr.ch/en/searchresult/list/one/ubb/A-V-0054e,–,,30.00,7.63680,47.56850
lt4,"Basel, Universitätsbibliothek, Cod. A VII 68",1405,Kartäuser,"Basel, Universitätsbibliothek","Gebete, Andachtstexte",15. Jh.,Kartause Basel,"254v-255r: I, 47
272r-274r: LD VI, 14c (2. Abschnitt) (FL VI, 37)
272r (Rand): LD VI, 14f (FL VI, 27)
274r: III, 1 (Mittelabschnitt) (FL VI, 3)",,–,https://www.e-codices.unifr.ch/de/description/ubb/A-VII-0068/HAN,https://www.e-codices.unifr.ch/de/list/one/ubb/A-VII-0068,–,,,7.59710,47.55840
lt5,"Basel, Universitätsbibliothek, Cod. A IX 3",1510,Kartäuser,"Basel, Universitätsbibliothek",MH als Haupttext,1512,Kartause Basel,I-VI,,–,https://aleph.unibas.ch/F/5JEI4B4IA5FJSNYXAPGHGNEVKGAXLK67BPSYMUU4KB2CCAGNRX-17178?func=find-b&find_code=WRD&request=%22A+IX+3%22&x=0&y=0&adjacent=N,–,–,,,7.59710,47.55840
lt6,"Basel, Universitätsbibliothek, Cod. A IX 34",1490,Kartäuser,"Basel, Universitätsbibliothek","Wohl erst als Einzeltext, 
jetzt zusammen in 
Sammelhandschrift",Ende 15. Jh.,Kartause Basel,66r-275r: I-V,,–,https://archive.org/stream/p1diehandschrift01univuoft#page/138/mode/2up,–,–,,,7.59710,47.55840
lt7,"Basel, Universitätsbibliothek, Cod. A X 94",1470,Kartäuser,"Basel, Universitätsbibliothek",Sammelhandschrift,1473,Kartause Basel,"43v: IV, 56 (Teil)",Schreiber Iohannes Gipsmüller,–,https://aleph.unibas.ch/F/5HA1F3U4GUX8U4CRNVN6BYJPTD9Q6VBRKRUT47V7X9CVL1NV1V-19112?func=find-b&find_code=WRD&request=%22A+X+94%22&x=0&y=0&adjacent=N,–,,,,7.59710,47.55840
lt8,"Basel, Universitätsbibliothek, Cod. A X 95",1520,Kartäuser,"Basel, Universitätsbibliothek",Gebetbuch,1523,Kartause Basel,"223r-224r: III, 17 (ohne letzten Absatz)",,–,https://aleph.unibas.ch/F/FHQIV6U8ISX5CEQSTIY4KFH1C4C4ENFFP3CULI8H9KC6VNPFQ4-19845?func=find-b&find_code=WRD&request=%22A+X+95%22&x=0&y=0&adjacent=N,–,–,,,7.59710,47.55840
lt9,"Basel, Universitätsbibliothek, Cod. A X 96",1460,Kartäuser,"Basel, Universitätsbibliothek",Sammelhandschrift,1467 /  Ende 15. Jh.,Kartause Basel,"175r: IV, 56 (Teil)",,–,https://aleph.unibas.ch/F/5GVJS372D63BG3HCKK6BYEVHTCL7SBVAYXVETQ5GY51X7N7LS6-20359?func=full-set-set&set_number=792779&set_entry=000001&format=999,–,–,,,7.59710,47.55840
lt10,"Basel, Universitätsbibliothek, Cod. A XI 62",1405,Unbekannt,"Basel, Universitätsbibliothek","Sammelhandschrift (Kurztraktate, Gebete)",15. Jh.,–,91v-92r,,–,https://aleph.unibas.ch/F/FBU5H2HB7BF1RCV9L46SFCH6MQ76TN76E87PALITJXEJBY6JEX-20806?func=full-set-set&set_number=792784&set_entry=000003&format=999,–,–,,50.00,7.53680,47.86850
lt11,"Basel, Universitätsbibliothek, Cod. B X 24",1480,Kartäuser,"Basel, Universitätsbibliothek","Sammelhandschrift; Meditationen
und Gebete",1484,Kartause Basel,"23r-v: Exzerpt aus I, 46",,–,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0503b_b0646_jpg.htm,–,–,,,7.59710,47.55840
lt12,"Basel, Universitätsbibliothek, Cod. B X 36",1470,Kartäuser,"Basel, Universitätsbibliothek","Sammelhandschrift; Meditationen
und Legenden",2. Hälfte 15. Jh.,Kartause Basel,"140r-200r: größere Exzerptmenge
",Katalog vermerkt als Datierung „ca. 1400“,–,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0503b_b0780_jpg.htm,–,,,,7.59710,47.55840
lt13,"Berlin, Staatsbibliothek, Ms. germ. oct. 17",1470,Dominikaner,"Berlin, Staatsbibliothek","Andachten, dt.-lat. ",2. Hälfte 15. Jh. ,"St. Nikolaus in undis, Straßburg, 
Dominikanerinnen","23v-24v: I, 47",,http://www.handschriftencensus.de/9174,"Hornung, Hans: Daniel Sudermann als Handschriftensammler. Ein Beitrag zur Straßburger 
Bibliotheksgeschichte, Diss. (masch.) Tübingen 1956, S. 140-142.",–,–,,3.00,7.76170,48.58060
lt14,"Berlin, Staatsbibliothek, Ms. germ. oct. 194",1405,Unbekannt,"Berlin, Staatsbibliothek",Lat.-dt. Andachtsbuch,15. Jh. ,–,"66r-272r: kurze dt. und lat. Andachtstexte, darunter auch 
MH-Exzerpt","Degering gibt nicht an, ob das Exzerpt in 
rheinfränkischer oder lateinischer Sprache 
dargeboten wird.",http://www.handschriftencensus.de/9218,http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0603c_b066_jpg.htm,–,,,120.00,7.33110,51.07580
lt15,"Berlin, Staatsbibliothek, Ms. lat. qu. 779",1430,Kartäuser,"Berlin, Staatsbibliothek",MH als Einzeltext,1438,Kartause Buxheim,"1r-134v, wohl Buch I-V",,–,http://www.manuscripta-mediaevalia.de/?xdbdtdn!%22obj%2031019608%22&dmode=doc#|4,–,–,,,10.13400,48.00000
lt16,"Berlin, Staatsbibliothek, Ms. theol. lat. oct. 103",1470,Unbekannt,"Berlin, Staatsbibliothek",Lat.-dt. Gebet- und Andachtsbuch,1497,Mittelrhein (?),"170v–175r: I, 1, 19e",,http://www.handschriftencensus.de/23128,http://www.manuscripta-mediaevalia.de/?xdbdtdn!%22hsk%200651%22&dmode=doc#|4,–,–,,40.00,7.60210,50.31180
