,signature,year (map),order,library,category (desc),date (desc),location (desc),extract (desc),description,hsc,catalog,digital copy,additional info,origin,radius,long,lat
fr1,"Berlin, Staatsbibliothek, Ms. theol. lat. oct. 71",1490,Sonstiges,"Berlin, Staatsbibliothek",Gebetbuch,4. Viertel 15. Jh.,"Vadstena, Birgitten-Doppelkloster /
mittelschwedisch","102v–103v: I, 47
168r–170r: I, 19
172r–174v: III, 1
174v–176r I, 18
180r–v: I, 43",,–,http://www.manuscripta-mediaevalia.de/#|6,,,,,14.89050,58.45100
fr2,"Dublin, Royal Academy, 23 A 22",1705,Unbekannt,"Dublin, Royal Academy",Gebetbuch,18. Jh.,irisch,"196v: I, 47 (?)",,–,–,,,,200.00,-7.91140,52.98040
fr3,"Gubbio, Fondo Armanni, Cod. 1 G. 2",1405,Klarissen,,MH als Einzeltext (?),15. Jh.,Klarissen / Italienisch,I-V,,–,Malgarini/Vignuzzi (2003),,,,300.00,11.97960,43.41320
fr4,"London, British Museum, Ms. Egerton 2006",1520,Unbekannt,"London, British Museum",Sammelhandschrift (?),nach 1513 (?),mittelenglisch,13v-57r: I-V (?),,–,–,,,,100.00,-0.94670,52.47340
fr5,"London, British Museum, Ms. Sloane 3567",1665,,"London, British Museum",–,1664/5,irisch,34r-v: Gebet,,–,–,,,,200.00,-7.91140,52.98040
fr6,"Kopenhagen, Arnamagnæanske Institut, 
Cod. AM 422.12°",1405,Sonstiges,"Kopenhagen, Arnamagnæanske Institut",–,15. Jh.,"Vadstena, Birgitten-Doppelkloster /
mittelschwedisch","I, 47",,–,–,,,,,14.89050,58.45100
fr7,"Lund, Universitätsbibliothek, Cod. Bergman",1420,Sonstiges,"Lund, Universitätsbibliothek",–,ca. 1420,"Vadstena, Birgitten-Doppelkloster /
mittelschwedisch","I, 23",,–,–,,,,,14.89050,58.45100
fr8,"Oxford, Bodleian Library, Ms. 220",1425,Unbekannt,"Oxford, Bodleian Library",MH Haupttext,1. Hälfte 15. Jh.,mittelenglisch,1r-101r: Exzerpte,,–,–,,,,100.00,-0.94670,52.47340
fr9,"Philadelphia, Rare Book & Manuscript Library Collections, Cod. Ital. 91",1470,Unbekannt,,MH als Einzeltext (?),spätes 15. Jh.,italienisch,–,,–,–,,,,300.00,11.97960,43.41320
fr16a,"Stockholm, Kungliga Biblioteket, Cod. A 3",1502,Sonstiges,"Stockholm, Kungliga Biblioteket",Sammelhandschrift (für Tischlesung),1502,"Vadstena, Birgitten-Doppelkloster /
mittelschwedisch","25va–26ra: I, 14 <br> 
65ra–vb: I, 19a+b <br>  
91va–92ra: I, 32 <br> 
124ra: I, 5a <br> 
127vb–130ra: I,5b–d <br> 
140ra–141ra: I, 6a–c <br> ","mittelschwedisch <p> Der Katalog folgt in der Kapitelzählung der schwedischen Edition Geetes (1899), welche eine andere Zählung vornimmt. <p> Ab ca. 1620 im Reichsarchiv, ab 1780 in der Königlichen Bibliothek.",–,https://www.manuscripta.se/ms/100203,https://weburn.kb.se/metadata/674/hs_19363674.htm,,,,14.89050,58.45100
fr16b,"Stockholm, Kungliga Biblioteket, Cod. A 3",1620,Sonstiges,"Stockholm, Kungliga Biblioteket",Sammelhandschrift (für Tischlesung),1620,"Reichsarchiv Stockholm
","25va–26ra: I, 14 <br> 
65ra–vb: I, 19a+b <br>  
91va–92ra: I, 32 <br> 
124ra: I, 5a <br> 
127vb–130ra: I,5b–d <br> 
140ra–141ra: I, 6a–c <br> ","mittelschwedisch <p> Der Katalog folgt in der Kapitelzählung der schwedischen Edition Geetes (1899), welche eine andere Zählung vornimmt. <p> Ab ca. 1620 im Reichsarchiv, ab 1780 in der Königlichen Bibliothek.",–,https://www.manuscripta.se/ms/100203,https://weburn.kb.se/metadata/674/hs_19363674.htm,,fr16a,,18.02242,59.32650
